2015	1	1	0.010040061		
2015	1	3	50.71829		
2015	1	2	71.7856		
2015	1	4	463.0954603		
2015	1	5	13.7		
2016	1	1	0.127338542		
2016	1	3	48.1606		
2016	1	2	57.57236		
2016	1	4	417.3530767		
2016	1	5	13.7		
2017	1	1	0.004524942		
2017	1	3	59.13758		
2017	1	2	65.80688		
2017	1	4	408.569817		
2017	1	5	13.7		
2018	1	1	0.031752286		
2018	1	3	54.17205		
2018	1	2	68.60571		
2018	1	4	281.5347639		
2018	1	5	13.7		
2019	1	1	0.031801536		
2019	1	3	54.25607533		
2019	1	2	68.71212313		
2019	1	4	378.5		
2019	1	5	13.7		
2020	1	1	0.031620552		
2020	1	3	53.94730092		
2020	1	2	68.215271		
2020	1	4	375.4		
2020	1	5	13.7		
